title,date,url,stock
【公告】廷鑫董事會決議召開113年股東常會事宜,2024/3/18,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0%E5%8F%AC%E9%96%8B113%E5%B9%B4%E8%82%A1%E6%9D%B1%E5%B8%B8%E6%9C%83%E4%BA%8B%E5%AE%9C-040118728.html,2358
【公告】廷鑫總經理異動事宜,2024/3/15,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB%E7%B8%BD%E7%B6%93%E7%90%86%E7%95%B0%E5%8B%95%E4%BA%8B%E5%AE%9C-075439189.html,2358
【公告】廷鑫獨立董事發生變動,2024/3/15,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB%E7%8D%A8%E7%AB%8B%E8%91%A3%E4%BA%8B%E7%99%BC%E7%94%9F%E8%AE%8A%E5%8B%95-074619850.html,2358
【公告】廷鑫列為變更交易方法且採分盤集合競價,2024/3/12,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB%E5%88%97%E7%82%BA%E8%AE%8A%E6%9B%B4%E4%BA%A4%E6%98%93%E6%96%B9%E6%B3%95%E4%B8%94%E6%8E%A1%E5%88%86%E7%9B%A4%E9%9B%86%E5%90%88%E7%AB%B6%E5%83%B9-114954859.html,2358
【公告】廷鑫訂3月13日起暫停融資融券交易,2024/3/12,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB%E8%A8%823%E6%9C%8813%E6%97%A5%E8%B5%B7%E6%9A%AB%E5%81%9C%E8%9E%8D%E8%B3%87%E8%9E%8D%E5%88%B8%E4%BA%A4%E6%98%93-114952450.html,2358
廷鑫存款不足跳票8000萬 明日起遭打入全額交割股,2024/3/12,https://tw.stock.yahoo.com/news/%E5%BB%B7%E9%91%AB%E5%AD%98%E6%AC%BE%E4%B8%8D%E8%B6%B3%E8%B7%B3%E7%A5%A88000%E8%90%AC-%E6%98%8E%E6%97%A5%E8%B5%B7%E9%81%AD%E6%89%93%E5%85%A5%E5%85%A8%E9%A1%8D%E4%BA%A4%E5%89%B2%E8%82%A1-103530549.html,2358
廷鑫有擔保轉換公司債 13日起變更交易方法,2024/3/12,https://tw.stock.yahoo.com/news/%E5%BB%B7%E9%91%AB%E6%9C%89%E6%93%94%E4%BF%9D%E8%BD%89%E6%8F%9B%E5%85%AC%E5%8F%B8%E5%82%B5-13%E6%97%A5%E8%B5%B7%E8%AE%8A%E6%9B%B4%E4%BA%A4%E6%98%93%E6%96%B9%E6%B3%95-102931039.html,2358
【公告】昶虹董事會重大決議,2024/4/3,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E8%91%A3%E4%BA%8B%E6%9C%83%E9%87%8D%E5%A4%A7%E6%B1%BA%E8%AD%B0-131123659.html,2443
【公告】昶虹獨立董事辭任,2024/4/3,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E7%8D%A8%E7%AB%8B%E8%91%A3%E4%BA%8B%E8%BE%AD%E4%BB%BB-071851377.html,2443
【公告】昶虹上市有價證券經證交所通知併案列為變更交易方法,2024/4/2,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E4%B8%8A%E5%B8%82%E6%9C%89%E5%83%B9%E8%AD%89%E5%88%B8%E7%B6%93%E8%AD%89%E4%BA%A4%E6%89%80%E9%80%9A%E7%9F%A5%E4%BD%B5%E6%A1%88%E5%88%97%E7%82%BA%E8%AE%8A%E6%9B%B4%E4%BA%A4%E6%98%93%E6%96%B9%E6%B3%95-133444629.html,2443
【公告】昶虹重大訊息說明記者會,2024/4/2,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E9%87%8D%E5%A4%A7%E8%A8%8A%E6%81%AF%E8%AA%AA%E6%98%8E%E8%A8%98%E8%80%85%E6%9C%83-132540844.html,2443
【公告】昶虹上市有價證券經證交所通知列為停止買賣,2024/4/2,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E4%B8%8A%E5%B8%82%E6%9C%89%E5%83%B9%E8%AD%89%E5%88%B8%E7%B6%93%E8%AD%89%E4%BA%A4%E6%89%80%E9%80%9A%E7%9F%A5%E5%88%97%E7%82%BA%E5%81%9C%E6%AD%A2%E8%B2%B7%E8%B3%A3-123239215.html,2443
投資人注意！證交所公告：廷鑫、昶虹暫停交易,更新時間：,https://tw.stock.yahoo.com/news/%E6%8A%95%E8%B3%87%E4%BA%BA%E6%B3%A8%E6%84%8F%EF%BC%81%E8%AD%89%E4%BA%A4%E6%89%80%E5%85%AC%E5%91%8A%EF%BC%9A%E5%BB%B7%E9%91%AB%E3%80%81%E6%98%B6%E8%99%B9%E6%9A%AB%E5%81%9C%E4%BA%A4%E6%98%93-120015872.html,2443
【公告】金管會來函昶虹未依規定申報112年度財報事宜,2024/4/2,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E9%87%91%E7%AE%A1%E6%9C%83%E4%BE%86%E5%87%BD%E6%98%B6%E8%99%B9%E6%9C%AA%E4%BE%9D%E8%A6%8F%E5%AE%9A%E7%94%B3%E5%A0%B1112%E5%B9%B4%E5%BA%A6%E8%B2%A1%E5%A0%B1%E4%BA%8B%E5%AE%9C-112635969.html,2443
【公告】昶虹董事會決議召開113年股東常會(變更召開日期、地點及召集事由)(更正113/04/01格式),2024/4/2,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0%E5%8F%AC%E9%96%8B113%E5%B9%B4%E8%82%A1%E6%9D%B1%E5%B8%B8%E6%9C%83-%E8%AE%8A%E6%9B%B4%E5%8F%AC%E9%96%8B%E6%97%A5%E6%9C%9F-%E5%9C%B0%E9%BB%9E%E5%8F%8A%E5%8F%AC%E9%9B%86%E4%BA%8B%E7%94%B1-%E6%9B%B4%E6%AD%A3113-064919269.html,2443
【公告】昶虹董事會決議召開113年股東常會(變更召開日期、地點及召集事由),2024/4/1,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0%E5%8F%AC%E9%96%8B113%E5%B9%B4%E8%82%A1%E6%9D%B1%E5%B8%B8%E6%9C%83-%E8%AE%8A%E6%9B%B4%E5%8F%AC%E9%96%8B%E6%97%A5%E6%9C%9F-%E5%9C%B0%E9%BB%9E%E5%8F%8A%E5%8F%AC%E9%9B%86%E4%BA%8B%E7%94%B1-141453794.html,2443
廷鑫、昶虹 未如期申報去年度財報,2024/4/1,https://tw.stock.yahoo.com/news/%E5%BB%B7%E9%91%AB-%E6%98%B6%E8%99%B9-%E6%9C%AA%E5%A6%82%E6%9C%9F%E7%94%B3%E5%A0%B1%E5%8E%BB%E5%B9%B4%E5%BA%A6%E8%B2%A1%E5%A0%B1-105446692.html,2443
【公告】昶虹董事長辭職,2024/4/1,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E8%91%A3%E4%BA%8B%E9%95%B7%E8%BE%AD%E8%81%B7-104435086.html,2443
【公告】昶虹未依規定期限申報112年度務報告,2024/4/1,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E6%9C%AA%E4%BE%9D%E8%A6%8F%E5%AE%9A%E6%9C%9F%E9%99%90%E7%94%B3%E5%A0%B1112%E5%B9%B4%E5%BA%A6%E5%8B%99%E5%A0%B1%E5%91%8A-080137824.html,2443
【公告】昶虹代子公司易特聯合科技股份有限公司簽訂工程承攬合約案解約(補充說明~112/12/14重訊),2024/3/26,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E4%BB%A3%E5%AD%90%E5%85%AC%E5%8F%B8%E6%98%93%E7%89%B9%E8%81%AF%E5%90%88%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%B0%BD%E8%A8%82%E5%B7%A5%E7%A8%8B%E6%89%BF%E6%94%AC%E5%90%88%E7%B4%84%E6%A1%88%E8%A7%A3%E7%B4%84-%E8%A3%9C%E5%85%85%E8%AA%AA%E6%98%8E-112-12-101640311.html,2443
【公告】昶虹 2024年2月合併營收180.4萬元 年增128.93%,2024/3/8,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9-2024%E5%B9%B42%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B6180-4%E8%90%AC%E5%85%83-%E5%B9%B4%E5%A2%9E128-075118558.html,2443
【公告】昶虹董事會決議召開113年股東常會,2024/2/27,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0%E5%8F%AC%E9%96%8B113%E5%B9%B4%E8%82%A1%E6%9D%B1%E5%B8%B8%E6%9C%83-094350738.html,2443
【公告】昶虹 2024年1月合併營收224.8萬元 年增87.96%,2024/2/7,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9-2024%E5%B9%B41%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B6224-8%E8%90%AC%E5%85%83-%E5%B9%B4%E5%A2%9E87-062156825.html,2443
"【公告】昶虹係因有價證券於集中交易市場達公布注意交易資訊標準,故公布相關財務業務等重大訊息,以利投資人區別了解",2024/1/29,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E4%BF%82%E5%9B%A0%E6%9C%89%E5%83%B9%E8%AD%89%E5%88%B8%E6%96%BC%E9%9B%86%E4%B8%AD%E4%BA%A4%E6%98%93%E5%B8%82%E5%A0%B4%E9%81%94%E5%85%AC%E5%B8%83%E6%B3%A8%E6%84%8F%E4%BA%A4%E6%98%93%E8%B3%87%E8%A8%8A%E6%A8%99%E6%BA%96-%E6%95%85%E5%85%AC%E5%B8%83%E7%9B%B8%E9%97%9C%E8%B2%A1%E5%8B%99%E6%A5%AD%E5%8B%99%E7%AD%89%E9%87%8D%E5%A4%A7%E8%A8%8A%E6%81%AF-%E4%BB%A5%E5%88%A9%E6%8A%95%E8%B3%87%E4%BA%BA%E5%8D%80%E5%88%A5%E4%BA%86%E8%A7%A3-095245113.html,2443
【公告】昶虹 2023年12月合併營收602.2萬元 年增346.74%,2024/1/10,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9-2023%E5%B9%B412%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B6602-2%E8%90%AC%E5%85%83-%E5%B9%B4%E5%A2%9E346-081325101.html,2443
【公告】昶虹受邀參加台新証券 舉辦線上法說會,2023/12/18,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%98%B6%E8%99%B9%E5%8F%97%E9%82%80%E5%8F%83%E5%8A%A0%E5%8F%B0%E6%96%B0%E8%A8%BC%E5%88%B8-%E8%88%89%E8%BE%A6%E7%B7%9A%E4%B8%8A%E6%B3%95%E8%AA%AA%E6%9C%83-104055014.html,2443
【公告】代子公司易特聯合科技股份有限公司簽訂工程承攬合約案,2023/12/14,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E4%BB%A3%E5%AD%90%E5%85%AC%E5%8F%B8%E6%98%93%E7%89%B9%E8%81%AF%E5%90%88%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%B0%BD%E8%A8%82%E5%B7%A5%E7%A8%8B%E6%89%BF%E6%94%AC%E5%90%88%E7%B4%84%E6%A1%88-101336063.html,2443
