,Unnamed: 0,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
414,414,00730,富邦臺灣優質高息,59000,44000,15000,0,0,0,0,0,0,105000,54000,0,54000,116000,65000,51000,120000
415,415,3019,亞光            ,347000,66000,281000,0,0,0,0,160000,-160000,-1000,2000,0,2000,0,3000,-3000,120000
416,416,1342,八貫            ,260000,145000,115000,0,0,0,0,0,0,4837,0,163,-163,7000,2000,5000,119837
417,417,1503,士電            ,873014,735000,138014,0,0,0,0,46000,-46000,27000,12000,0,12000,20000,5000,15000,119014
418,418,4571,鈞興-KY         ,174000,54000,120000,0,0,0,0,0,0,-2000,0,2000,-2000,0,0,0,118000
419,419,6209,今國光          ,224000,105000,119000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,118000
420,420,1604,聲寶            ,125000,7035,117965,0,0,0,0,0,0,0,0,0,0,0,0,0,117965
421,421,2423,固緯            ,129000,33000,96000,0,0,0,0,0,0,17000,19000,2000,17000,0,0,0,113000
422,422,3321,同泰            ,136001,27000,109001,0,0,0,0,0,0,1000,1000,0,1000,0,0,0,110001
423,423,4739,康普            ,135000,20000,115000,0,0,0,0,1000,-1000,-4646,0,0,0,1,4647,-4646,109354
424,424,8261,富鼎            ,183000,99000,84000,0,0,0,0,0,0,25001,0,0,0,25001,0,25001,109001
425,425,4551,智伸科          ,123000,15000,108000,0,0,0,0,0,0,1000,1000,0,1000,0,0,0,109000
426,426,2436,偉詮電          ,354000,246000,108000,0,0,0,0,1000,-1000,1022,215,193,22,5000,4000,1000,108022
427,427,6757,台灣虎航-創     ,145000,8000,137000,0,0,0,0,0,0,-29000,30000,5000,25000,73000,127000,-54000,108000
428,428,3645,達邁            ,180000,73000,107000,0,0,0,0,0,0,0,0,0,0,0,0,0,107000
429,429,6412,群電            ,296000,185000,111000,0,0,0,1000,0,1000,-5256,2000,6000,-4000,1000,2256,-1256,106744
430,430,8114,振樺電          ,116000,23000,93000,0,0,0,0,0,0,11336,10000,459,9541,2000,205,1795,104336
431,431,6715,嘉基            ,117656,22580,95076,0,0,0,0,1000,-1000,10000,0,0,0,10000,0,10000,104076
432,432,1732,毛寶            ,130000,26000,104000,0,0,0,0,0,0,0,1000,1000,0,0,0,0,104000
433,433,3006,晶豪科          ,581000,516000,65000,0,0,0,0,0,0,38992,91000,43000,48000,10681,19689,-9008,103992
434,434,1773,勝一            ,383000,275000,108000,0,0,0,0,0,0,-6000,20000,26000,-6000,0,0,0,102000
435,435,5388,中磊            ,1455074,1407000,48074,0,0,0,0,0,0,53390,79000,170610,-91610,222000,77000,145000,101464
436,436,3023,信邦            ,546000,439010,106990,0,0,0,0,4000,-4000,-1739,3000,6079,-3079,2000,660,1340,101251
437,437,2506,太設            ,173000,72000,101000,0,0,0,0,0,0,0,0,0,0,0,0,0,101000
